"athlete","athlete_season_id","sex","school","school_class_year","athlete_level","year","event_name","event_distance_m","time_s"
"2368b6d0ecf6a2e4af475d4d2ff8c2a8","ce81ee475d9f7d8d74f3805f80f79379","female","6db1ac80bb5eddc8964395d1b2e939bb","hs_12","high_school",2022,"800m",800,139.5
"d88af2ba2b7f85aa9e4d7f1a511082a1","c814308f6ca9c53ddb979a0b18261953","male","bbf705815c2afdb9206a92ec17a5a91c","college_so","college",2012,"mile",1609.344,277.7
"ed16c0e9768355f03734e01f5a6de2d6","347473d430b1d313767b80deba2ff0d5","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_so","college",2013,"mile",1609.344,290.8
"0149489de90f539675f466a16b2d7ffb","16c864521b3c7c86d55ae68c3e522989","female","e68acc867310c39f4ceaf16de0377106","hs_9","high_school",2019,"800m",800,143.9
"136676816011f4a79d314ec525fdcccd","c075786f7e5c0172801f8c70b74e40f9","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_so","college",2005,"mile",1609.344,276.6
"d1fd27ac1072528245f421ebc1157fa1","3d7eeaf738d3cc8f5df06d64e7240823","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_sr","college",2011,"mile",1609.344,319
"550372c3d3837196f9335fa9172575ed","bd89ba72e4f919f776591002badc0170","male","1be29407b6209d8cad9faef6a7476ac2","college_jr","college",2017,"3000m",3000,572.7
"08cd2533733c72cf85a8f66fe50390d7","8084a747d620fe680831590092dd7c6d","female","e9a975ea9625b1fefeede4132ef7b385","hs_12","high_school",2007,"800m",800,148
"3c9341cdbc975db6e3dfb6f63873b82d","c99b305aa6a8ec750d6925def9c886c2","male","848c1b4e52889546717ce70d413d1a5d","hs_12","high_school",2016,"800m",800,117.5
"652893d008f75bf1ed8272c869b5d9b1","b7ec36637d3b168fcc8a440e915ea84f","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_fy","college",2017,"800m",800,144.2
"51656b5a554f276d209381cd6fb23fe9","2fbc6299ee4b16e58cfb443f9823147b","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_so","college",2010,"3000m",3000,519.7
"c142e5aff6cccffeb5d84a9f3b9941ac","26621492ccc933e54ed18b03750828a3","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2017,"1500m",1500,250.5
"2610d000d33d87f4014372e97c5f4b50","c29668508b5f3712bef4fec7ab68a6de","male","fabfb16c18641d5efa4f7ae83fc0ec3d","hs_12","high_school",2017,"3200m",3200,582.2
"debd8289e5cf4218d918285a1286fb61","978c90794ede8507f648db59835ea4cd","male","4a4cacefee43baa0fe3c96e4a9f4d6ae","college_sr","college",2005,"mile",1609.344,260.6
"aa18345607343a10f62790ba5324424a","4c71b01a48813c5583f9c88538391a18","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_so","college",2013,"1500m",1500,301.3
"788aa634b148fb9453c702a0b5a4158a","b48d6ccb01a8eda4fe6a6fa47c036366","male","bbf705815c2afdb9206a92ec17a5a91c","college_jr","college",2016,"3000m",3000,515
"8f16063a723677456eab397355eeaaab","c0b6b27e0429a503c6769514d9b095d3","male","4a4cacefee43baa0fe3c96e4a9f4d6ae","college_fy","college",2002,"1000m",1000,165.5
"ee6710484b1b2400f0767722266bd781","6e0369fac910e1d076e8b4a5b0c4a0b5","female","430fc81bf1de4c0f60e383a701875726","college_so","college",2016,"3000m",3000,654.5
"6705261e545be0a56e415bf7dcb4236c","8ab3ca760a351075aa5e47a52c48b1be","male","1be29407b6209d8cad9faef6a7476ac2","college_sr","college",2011,"3000m",3000,552.7
"cb2346da96a171f32ef6c3dee00f8032","6ef9f7973f0912150931dc299bf9d02c","female","214fbbf226eb189b9f6fa112e99922c1",NA,"college",2000,"5000m",5000,1132.6
"7dc89b0c7950c37c7e6cd15df4755019","b6517e209e01facf6fba98d4cb10bd00","female","214fbbf226eb189b9f6fa112e99922c1","college_sr","college",2011,"1000m",1000,187.4
"8887b9dbf543ef8a3b48bec399af911e","c0832c038c70436e8a4f94d239fd83ab","male","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2014,"1000m",1000,152.5
"eda1c1d17f5b4dc288f33d2aac09f50f","2d86c95813465c52875c491155b69097","female","1be29407b6209d8cad9faef6a7476ac2","college_so","college",2004,"1000m",1000,191
"601f9868bbf785a8d7d0d238f1f33a5d","b51636d7f76c58e42a3c45ec064c52bb","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_sr","college",2015,"1500m",1500,240.3
"1a78215310e8d17d36bb9d9dde329d10","be679e8416eb89f084a32c7ec998efae","female","e9a975ea9625b1fefeede4132ef7b385","hs_10","high_school",2012,"800m",800,137
"a55a2cdff1521941d204fc54587704a4","5048510953a4a2a5f795ed4fafc67dd8","male","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2009,"1500m",1500,276
"0a7da68da0e1fceb5fb6f0a851c21b42","62aa46e69e1b7b6ff9652ced9489b96b","male","7ffcce5a304175e0668fe203a79dcfa6","college_jr","college",2010,"1000m",1000,164
"1166d942d0f978555d0f6028963d6c64","34eaf921a675815529a842c428f1b5f4","male","bbf705815c2afdb9206a92ec17a5a91c","college_sr","college",2014,"mile",1609.344,266.6
"14b7095e5e170a9ff49d50d16538408a","91444a2bbb590815c292f28bdeefb500","male","af40691cce4094199d93360f60f3179f","hs_11","high_school",2012,"3200m",3200,590.1
"d44e772ba77e2a88f3719474bc23b509","11a232dbdab360debdb4990a8416863b","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2002,"3000m",3000,542.2
"626800bfded1e8788cfb6ccbd0d0c3d8","41d6a1b8fd8381cede06194ea8761e25","female","5e8a15941d6195b91e16bc8cc8398ae1","hs_10","high_school",2014,"1600m",1600,302.6
"8262c6a56c31fa4ee686c9cd5877c870","e702e4b74ea9024f5b354b6b162648ea","male","1be29407b6209d8cad9faef6a7476ac2","college_sr","college",2009,"mile",1609.344,268.4
"5edf0d3535d10d6830f88904a89a5419","e38db4d010091c018d7dcaa0e64bf00c","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_jr","college",2008,"1500m",1500,272.2
"16199376b24302cd3d026128cc79c332","710641f6ba8efd86e8aa7c81b3f7750b","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_fy","college",2011,"mile",1609.344,327
"cab0703c340e737577d086fa69097c81","8df0084dcb3c22a75fe23a10ea2eb00f","male","a0c6c43776697c25de3476ccd068fe7d","hs_11","high_school",2010,"1600m",1600,257.3
"5d7881fa5f037fcd3c4e9c41521b013d","01445d62571d449bb6b3fa93ef99791a","male","c7752c9577bcc95163b84a0779846ac9","college_jr","college",2001,"800m",800,114.9
"c311bd50aff833bfea7cd5e90c77c7ed","174db5f20f1c5df3b86f1628dfb92982","male","1e3ed3ec2364db3a993cb9db3c017757","college_so","college",2010,"800m",800,136.2
"7a8c7ab7231588133638505ad0b58542","0fdea20addb016f3097e68be71c6551a","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_sr","college",2014,"1000m",1000,223.4
"d44e772ba77e2a88f3719474bc23b509","c59374ffe68f23a6e894ce8b50b184de","male","12f41389f2f80db3ea75021ca7dff5ed","college_jr","college",2004,"5000m",5000,899.1
"4746136b2c2836eb56770c70d8983020","196fd8b6d5dba646f635a2b082ff360d","female","10f5ce1040f110179e891474cbf8f046","hs_12","high_school",2012,"800m",800,142.6
"eb4fceb63d3196d4a60e9436098508d2","2a4cea5effb8569354737416446dc994","male","bbf705815c2afdb9206a92ec17a5a91c","college_fy","college",2011,"1500m",1500,247.7
"ec94bf9d6cd57a3d057c4a0b49ac5a8b","fd0a769fc48cf632abd9de9284913bb1","female","214fbbf226eb189b9f6fa112e99922c1","college_sr","college",2016,"5000m",5000,1075.4
"c8164d04432508c928421609e724e254","1819149e282c9465d91b97e1ccfcf13e","male","bbf705815c2afdb9206a92ec17a5a91c","college_so","college",2001,"1000m",1000,159.9
"84caf95061b417318e35b74a56909ddf","b7cc3c5ae5229c7f8db9f688ec54526e","male","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2014,"mile",1609.344,267
"b1f3f4b75f4be7fa5af789b1c8b085a5","3815da7e3a189a9b1f8f16cafa786540","female","214fbbf226eb189b9f6fa112e99922c1","college_fy","college",2014,"3000m",3000,704.7
"996ac1dd59b0bd5429a991c0a0091f82","ce1e73090e81e8ab5b14547c5c766627","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_so","college",2001,"1000m",1000,197.1
"61527c7c534dd3e0c12e62110256870a","3bacb65b18ae1af6f737f3cfe2c5ec98","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_so","college",2016,"1000m",1000,158.7
"5498bc5c03b8c8ca3f3f5da268a7d533","9562238bfcdab1e2384c088719cbac33","male","7ffcce5a304175e0668fe203a79dcfa6","college_sr","college",2008,"800m",800,120.7
"2ecbd083c3c612b87a0adbe8af1c25ae","88b95eedd7afc555e27243767595a805","female","1be29407b6209d8cad9faef6a7476ac2","college_fy","college",2015,"3000m",3000,646.4
"c142e5aff6cccffeb5d84a9f3b9941ac","09d81179135a4591c73727e27f18097d","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2017,"3000m",3000,531.3
"3aa58b50962cdd520c3f91b8a6cc6d06","c88a9354ed3663ed861fd5398fb78b42","male","edee9b0ffe68225f54d583e0a5c73149","hs_10","high_school",2005,"800m",800,121.8
"498585955c3e7cacffa6fda46841468f","fcefcd2e82367e6ed67fd62c9b6a8606","female","1d79bb6b11177cf54afa3f162eef43a8","college_so","college",2013,"mile",1609.344,325.8
"b62c55b1824d5f5092369b56fbf0ca07","5c42d892f0d006f293e54064c0c46d2b","female","b0d2e11be7e12705327f54833b6b78ec","hs_8","high_school",2010,"3200m",3200,739
"6313be84cdc9395484f8b80986bec15e","939097486d432dd48b20a9052c774c4a","female","eec3f1b90af23b5958b5dde5ec99c188","hs_9","high_school",2008,"1600m",1600,302.4
"a20d20720e9d5f0658c4e5d24ab42506","72f8cc739ae0aa1212b94c8ffe9e30e6","male","1e3ed3ec2364db3a993cb9db3c017757","college_so","college",2015,"5000m",5000,950.9
"ec5643917ea37acf72ef6e0104c665d8","0d3844c6396c51ebd64ab3c0d6a91a68","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_jr","college",2011,"800m",800,121.1
"0075cb687c883374d214d3dbd3485963","878b95542eeb09095dbaccf926144d99","female","214fbbf226eb189b9f6fa112e99922c1","college_so","college",2013,"1000m",1000,211.4
"e6bc96ae45a28658ce5c5b03739e4e29","e2778edbf2a1c8b52a31cd510152766d","male","bbf705815c2afdb9206a92ec17a5a91c","college_so","college",2008,"1000m",1000,164.3
"f581c2c81169fae0c6a9d0afff614a31","e9047a89e7be6edf10677f7f91c87890","male","bbf705815c2afdb9206a92ec17a5a91c","college_fy","college",2006,"5000m",5000,945.2
"1ce95213cedd407ff71e407b72614a0b","37133c22a478973c0534a3b8e02d92eb","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_so","college",2012,"mile",1609.344,295.6
"558898e6c27b4ba18c047ed728dc5be4","98529f4a8b55efb66a81e62b1bcd9635","male","12f41389f2f80db3ea75021ca7dff5ed","college_sr","college",2012,"800m",800,122.3
"04108f42bd37824643b55348da483f38","89f142928e307cd448618df5004b4114","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_so","college",2015,"800m",800,132.5
"032c09a4fe6b81f9796fb58e91d07af9","70b79de30f619c358d255e5638e33482","female","214fbbf226eb189b9f6fa112e99922c1","college_fy","college",2012,"5000m",5000,1264.5
"b043f9db29a26f0532cc0e8900e18cd8","24583123ce6efd1f5da46456b542b9f0","female","f753ad09a7c3b3230a748631f65f384a","hs_9","high_school",2007,"800m",800,147.2
"1d967e615b1dbbc18715c9ea021f5ce6","d370bb74739cbfbcad76adb66dc4de31","male","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2009,"1000m",1000,163.7
"6104502b7239e76f428fc302013bead7","ced12d150ebad52abc516b8e580ac3dc","female","0228c00aa01102cd660eb2393dd406ca","hs_11","high_school",2005,"1600m",1600,324.2
"472e762efc66e39cad47a74fd0c3b37e","ba4a3cedb4545f985612cab4c484ae6a","female","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2010,"mile",1609.344,366.5
"50548bf7b0101b294c6ddd1af8aeab8c","af0accb5f63a706ef90dc445d29c2d18","female","1d79bb6b11177cf54afa3f162eef43a8","college_sr","college",2011,"800m",800,157
"7b00eda2c2d10db67f7047d750c2cabf","af4c6830013e23a050ddd8691ee2790b","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2015,"1000m",1000,171.3
"e333557954e96c4a403755813f578a9b","a8f26ce204005d374a53cf5b005ab46f","female","214fbbf226eb189b9f6fa112e99922c1","college_sr","college",2017,"3000m",3000,633
"4b74359ae13fde5eaf109a2a042f641d","1e29d2d0d4843b52f7964e0871a14e54","female","96ca1f511ab8e7e38d95a55cfd88b0c9","college_fy","college",2015,"1000m",1000,213.8
"a8fbdb57a12b5d1bc9872a5b9c88dab0","f331bf5eca46e2a881c836799c43988c","male","4bf859595bc79b29ffae2147260ac68c","hs_10","high_school",2013,"1600m",1600,263.6
"4ba1823bca53c5992d7ed540d8a768e7","5a61370ac6034a75bfdb34e41a99e008","female","8d0284260acd153cff449e26edf348bb","college_jr","college",2005,"5000m",5000,1219.2
"c311bd50aff833bfea7cd5e90c77c7ed","cfb1dbf71dd126a159ed7a2d72823572","male","1e3ed3ec2364db3a993cb9db3c017757","college_fy","college",2009,"5000m",5000,1002.2
"b9e0e94e71788b74b18b5e8e9f7b5a40","b7b58d0610d23baf847a1cb4529d6ccc","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2014,"5000m",5000,994.4
"8f747b75e64fcf3bb3099f7d9ad98855","f6fac74de1a224b3803184686f247413","male","12f41389f2f80db3ea75021ca7dff5ed","college_jr","college",2004,"3000m",3000,550.8
"4d0761364e94f52eb9ff9d6ccb9b1f5f","c40bea36135404d839cad381e6ea1d4f","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_jr","college",2016,"5000m",5000,938.8
"fb00e11a5da679b1b89e6bc84be63dbf","3664b2501b388d0f2fef324cc20a9470","male","1be29407b6209d8cad9faef6a7476ac2","college_sr","college",2009,"mile",1609.344,277.5
"ca6e88d75fdb61fdd02369548a38f8e7","1b0adb6200ce7522e0bc6afadad4a863","male","12f41389f2f80db3ea75021ca7dff5ed","college_sr","college",2007,"1000m",1000,184.3
"9480645a37cc254af9a29d4539c422b4","0fd1afaebd70a30187a443883f77781e","male","1be29407b6209d8cad9faef6a7476ac2","college_jr","college",2012,"mile",1609.344,294.7
"dec84feca62ccc80290efc048ab381b2","c12348c79c3087f1881a4600b018d49f","male","12f41389f2f80db3ea75021ca7dff5ed","college_sr","college",2008,"1000m",1000,157
"0bead0aa02e24e50e6583e4c4545252b","adfae9fcff6a406c114bf1c880d7d3a7","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_so","college",2006,"3000m",3000,584
"f4bc073cd31a43d8e62d64592eb7e865","81de888eb9d7148b30ba2e2e197ec39d","male","1be29407b6209d8cad9faef6a7476ac2","college_so","college",2015,"3000m",3000,539
"23ed14e3e1d9fdb8cf74e853fdf3eab9","679ca2c963edd4d81a2718a27fe22708","male","fabfb16c18641d5efa4f7ae83fc0ec3d","hs_12","high_school",2019,"1600m",1600,262.7
"27e0cfca0c3ccb1d4372c7e3b82cf656","d3bc24905bb0a7a0dc5215055d412037","female","1be29407b6209d8cad9faef6a7476ac2","college_so","college",2016,"5000m",5000,1115.5
"55e8b5f6925459028d2ab0340739c1bf","3fab0b8959ad9113d162f683b2dbd34d","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_so","college",2003,"5000m",5000,897.7
"d3f9428459bb3ea69ae662d4acc4fdfd","e74f464281d770f894405191ab9dd4c2","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2017,"5000m",5000,932.4
"a4e7a03c682c77993d118a494fa19e82","fb92f20ef987ba195e1ba41c21ed2aaa","male","a0c6c43776697c25de3476ccd068fe7d","hs_11","high_school",2013,"800m",800,119.2
"dec0a0c74f9612cb817021974f4285fb","fb48880defbc9a56a570ab2bf1740b0e","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_so","college",2004,"1000m",1000,161.5
"65fcce06da57594a51289b343a93bb58","3fb2fbd640d38611b44c76f34095019b","female","d8b90ea49739e43ec31c7d122496e4b6","hs_11","high_school",2006,"800m",800,145.4
"beb97818d9be45ebf04bdd195a76644e","f8092480e5fe2171304752fd76feaf7a","female","4bcbbf8bc4877ef35d5a983d45c6a293","hs_10","high_school",2013,"1600m",1600,301.3
"28289da19a8aeb2c29f3b5bdebd69cf0","79f41b08b9da71a5ed263130ea2018c1","male","e68acc867310c39f4ceaf16de0377106","hs_12","high_school",2023,"1600m",1600,270.5
"c437d3f3180d93dd2fd0a243303ac6e6","ca75ae17de61627f19136666b33633bb","female","848c1b4e52889546717ce70d413d1a5d","hs_11","high_school",2003,"1600m",1600,293.2
"ba0454448f3c267913f93a87a5bab062","57d4c2a7b51adaf3a59736bf0619b3f6","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2007,"800m",800,120.7
"c614b15bc6168bd1de7c5430c92491b1","04c42d2df242f358d4d05366b8534830","male","edee9b0ffe68225f54d583e0a5c73149","hs_12","high_school",2003,"3200m",3200,590.1
"499ca4389b74de63a47a0bcc3fa539be","3c2daa19986e5a8b5ef9a22cae27b038","male","460614fc9715df78b4af1e05d630cf20","college_fy","college",2016,"mile",1609.344,290.5
"b9582ac94288c9f8c26d149c71904aef","99f4ab905ab6365f2802404466a6216f","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2010,"5000m",5000,926.4
"600646138c95da52a99d244aa3c58b4b","b77a8340edbabd946fbd31c241d04b7c","male","12f41389f2f80db3ea75021ca7dff5ed","college_jr","college",2017,"mile",1609.344,248.5
"1abe86c0116178038454accb2c05dc72","31e7c7674173079c76bb0901996096c3","male","1e3ed3ec2364db3a993cb9db3c017757","college_sr","college",2010,"800m",800,132.4
"51656b5a554f276d209381cd6fb23fe9","fd45a605bb1f55390572148645f67a1b","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_jr","college",2011,"3000m",3000,509.2
"d397ac59730b6a6ad4aad5a74ce2507f","a923eac8e20b9c394b590357d4f44c4b","male","ecfcacb8f2a6a5ef6003c4d9f249ca0b","hs_12","high_school",2012,"3200m",3200,588.4
"0066b48498e2bf6a3c111921aafb548c","e89615a90b4ee20de9dbcf914abebff3","female","460614fc9715df78b4af1e05d630cf20","college_so","college",2016,"5000m",5000,1149.8
"8d7c2330f9d7b9279e607cecdf17c123","33a63b53e39283de579810efdb3d1e77","female","214fbbf226eb189b9f6fa112e99922c1","college_so","college",2012,"mile",1609.344,357.5
"bc4fa99d35728d66bfe58aa269397368","7db45b95b98d4c259fdc7837c9ee7a33","female","430fc81bf1de4c0f60e383a701875726","college_so","college",2016,"mile",1609.344,325.5
"179a64084825847b41614e540004eb87","531615cb7bd3d858c1808b81d350baec","female","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2015,"mile",1609.344,337.2
"a40811025a9998f75be0108b4b830b41","106f18e5de099abae4b94e95769bb6a6","female","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2002,"800m",800,150.4
"24fbd415ea113343f3de7b86ddb346b7","8e8e3c1e18d6c63536bda43ab664d81d","female","ecfcacb8f2a6a5ef6003c4d9f249ca0b","hs_8","high_school",2015,"1600m",1600,319.2
"afbca4c7cbb6da730ec3a8c7425c9acc","1a09420f684db91265d2d96ef18406d7","female","460614fc9715df78b4af1e05d630cf20","college_jr","college",2008,"mile",1609.344,322.8
"902c840e002c58ec218a90afe386eb1a","2e0be5620d7bffbd3946c248460e4b02","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_jr","college",2013,"5000m",5000,1123.2
"a2bbe3311ef5638d7d9f0c0aaa821bd7","7744170e2d696c698c7668e6cfc4e8c1","male","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2002,"3000m",3000,548.1
"c8164d04432508c928421609e724e254","1819149e282c9465d91b97e1ccfcf13e","male","bbf705815c2afdb9206a92ec17a5a91c","college_so","college",2001,"1500m",1500,259
"b043f9db29a26f0532cc0e8900e18cd8","988baa02a8cdf3c5ce8d65457aabefa8","female","f753ad09a7c3b3230a748631f65f384a","hs_11","high_school",2009,"1600m",1600,326.6
"d697cab72411407864baa5be9801e0f1","85ccdb38755c28f6290a015eec5e8c46","male","7ffcce5a304175e0668fe203a79dcfa6","college_sr","college",2012,"1000m",1000,161.8
"2c9d71161ec525272abee99f710ca383","627fe566d64b124d2c1fa2424d1cd99e","male","edee9b0ffe68225f54d583e0a5c73149","hs_12","high_school",2013,"800m",800,117.8
"57e4b5813c18e713ffddbd5b621f49ad","073d351bcf87491a8c45cb310e788b11","male","9f159f4bd2754ddd8ac0cb9a31805a69",NA,"college",2000,"1500m",1500,250.9
"586a69957643226e1904d44fb76f126d","00104185cc58c7efdeb4087a215ec00e","male","7ffcce5a304175e0668fe203a79dcfa6","college_jr","college",2009,"800m",800,118.2
"cd3ca5d8d17502e9a38247b1980e8196","96f224eb753445de015288cb02f84aa4","female","7ffcce5a304175e0668fe203a79dcfa6","college_sr","college",2017,"1500m",1500,287.3
"723c758418629219b5d2fcfcd3a40a23","50c6406a1f09db5f90f910e6872b3d2f","female","6554af2bb46a7056b0c31b8d512a0557","hs_10","high_school",2018,"1600m",1600,297.7
"2cc0841e5da5584d4341d0bc5abf2f0e","75deaab2d839c4d0abbd6422cc330173","female","8d0284260acd153cff449e26edf348bb","college_sr","college",2015,"5000m",5000,1173.8
"c8164d04432508c928421609e724e254","f574a1db2dd4b5dbd8e646de0b44d207","male","bbf705815c2afdb9206a92ec17a5a91c","college_jr","college",2002,"800m",800,121.4
"1f5e651201aadde8d07d7088d9b8cfcb","3f022e859915dfaec3117aeeba0a0b84","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2016,"1000m",1000,149.2
"baf3b97fd7bb8e8ddac60d9773d6cab3","e96e15650a9f8d00d208bddfb7f9afa5","male","60afa4f3b36ba1a8b00d1b9c6557a0b6","hs_11","high_school",2014,"3200m",3200,572.8
"1d95ef782f65b206b1692c339c82d616","f9b0ee3da2f7c6e1b2e5df0113a02ac0","male","7ffcce5a304175e0668fe203a79dcfa6","college_fy","college",2010,"3000m",3000,606.6
"427dae1f711157a08ea8f2f5920be5cd","fcc46ddac28ea08f57df7fdc9ce992c4","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_fy","college",2011,"3000m",3000,693
"69da324ebf91ecf314d0130f24518198","1267e6462dc04c630b8400f84025c811","male","9407cb956ba4f1f05186b04411df67b6","hs_12","high_school",2009,"3200m",3200,592.9
"88408ec8faef35039e739c35b9ad0a03","497b8d6b2287a8517cbe24f12d1555ae","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_fy","college",2011,"mile",1609.344,342.3
"c142153f19155634f61cff733af2c951","f9203f6bc197ed2eb760844c2d0721be","male","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2006,"5000m",5000,996.1
"6d0dc43ae6ffb306cdcb13cf0310d9e3","426997a33e7040d243ed3758bda22b17","male","bbf705815c2afdb9206a92ec17a5a91c","college_jr","college",2012,"1500m",1500,242
"396b25dc156ed5fdc22efa9d87a8aa8c","c27af00c6bd6f848d43d0eb7554b7a98","male","430fc81bf1de4c0f60e383a701875726","college_so","college",2015,"10000m",10000,1922.6
"278db26b1a0a8c309ff3cd8080148af6","8579476bb9a599b5798db79acdb2dc2b","male","12f41389f2f80db3ea75021ca7dff5ed","college_jr","college",2017,"3000m",3000,567.9
"1d47cb661035999e694f20c703d5bea1","c54981c416fb86fdf0a0e75d5f6c18bf","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_so","college",2015,"1000m",1000,151.7
"212b4195eda9389f9c2ce2a53f493048","e7082b21996d71cd8155d690ad23e4cc","male","7ffcce5a304175e0668fe203a79dcfa6","college_so","college",2004,"10000m",10000,2036.9
"0bdd4567e692d6e86aff9dcef2d594a6","0fdaabd6b2c3ce4d8d2b5d48c076c6c5","female","383640705a9ba534343c8f67a9571398","hs_11","high_school",2015,"3200m",3200,626.4
"fd57cad07edf369d0ecdfd025f3d4aee","43b7e503dcb3cd620f974301fff60f82","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_sr","college",2012,"5000m",5000,1157.1
"5e0f64d0d760693853ab7fb38e183673","b49f1bfabd7e385a02550345b2d39b8a","female","96ca1f511ab8e7e38d95a55cfd88b0c9","college_fy","college",2016,"800m",800,146.7
"ae5c01737603b19501e89f18ded6feaa","73b02c05652fcf30570f5c81feff6360","female","c7752c9577bcc95163b84a0779846ac9","college_sr","college",2001,"5000m",5000,1107.4
"dcaf3215768935b7eff70852d0ff4953","ffe187cdacf8382dbc8ddaaa9b8e68c5","male","3ab434837957ebd50dffb7f3440f22b2","hs_10","high_school",2006,"1600m",1600,267.9
"029c2cb1b048a0d0974adacb8e741eaa","b6e5ac50e6a9304e539dfb0faa213f7c","male","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2006,"5000m",5000,922
"b79bd4281250e31dd4971e33ba28de55","da5c103c64984a85bca26b9efe95f116","male","7ffcce5a304175e0668fe203a79dcfa6","college_jr","college",2015,"5000m",5000,977.4
"f18e4b5e8dc98cd663c92af9f1052e3e","e239cb1ad2862335fb6e5413d0d6ee00","female","96ca1f511ab8e7e38d95a55cfd88b0c9","college_fy","college",2011,"3000m",3000,668.5
"2cc0841e5da5584d4341d0bc5abf2f0e","f34477fe0fc1c4e03c49674db559699e","female","8d0284260acd153cff449e26edf348bb","college_jr","college",2014,"5000m",5000,1178.9
"debd8289e5cf4218d918285a1286fb61","a299c368274c815fcf68b3551757f9d1","male","4a4cacefee43baa0fe3c96e4a9f4d6ae","college_jr","college",2004,"800m",800,116.2
"57863aaa95bc8fd9d83f82da098e3131","6f8b36418c2b9ac77ec2a932e390bb10","female","12f41389f2f80db3ea75021ca7dff5ed","college_jr","college",2004,"mile",1609.344,341.8
"4fb2c78c56e7dd37d7b5f3fba5c6aeb9","f32ed047c03b4357bd7fc0bb4ebf5bf1","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2005,"mile",1609.344,275.5
"62e3f3838008b0efbc16f773583c16a4","e463e134fa3ea51d4a20235069c93a41","male","1be29407b6209d8cad9faef6a7476ac2","college_fy","college",2014,"800m",800,129.4
"88c16777d4cb3011cba0e2b5db18c7d2","366e65d6b74af310d2d4649b32a99db1","male","1be29407b6209d8cad9faef6a7476ac2","college_jr","college",2012,"3000m",3000,548.3
"da6eca369401328ff3e5cf4bb63f7227","4e72500ce278ccd4af0b123716e7206f","female","214fbbf226eb189b9f6fa112e99922c1","college_sr","college",2013,"5000m",5000,1116.6
"12c3da89fd2b3d2eba66ecae39b07ff4","32b2a59cbf0a5a34d2fc9b89bb2cda46","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2014,"1500m",1500,301.5
"33a8506d9bfa571552566322db05f5a9","7612d48c8270cf20ab67fd83c2a0885c","male","cce265f8575855ec2f9260aa2143f854","hs_11","high_school",2000,"800m",800,115.7
"8c58672699d22e4fe8771207fd91fb48","a06009dae56c0f80d1d88806ed2e7dc1","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_jr","college",2006,"3000m",3000,598.2
"7a366eda845ac849bacefc3f511e81f6","788ee1547654bfcf8f18aff5850795b7","female","460614fc9715df78b4af1e05d630cf20","college_jr","college",2001,"1500m",1500,289.5
